dataset,question,correct_answers,generated_answer,is_correct,context_used
natural_questions,what do the 3 dots mean in math,"['the therefore sign ( ∴ ) is generally used before a logical consequence , such as the conclusion of a syllogism', 'the therefore sign', 'a logical consequence , such as the conclusion of a syllogism', 'therefore sign']","It means ""and so on"" or ""continue the pattern.""",False,False
natural_questions,who wrote the song photograph by ringo starr,"['Ringo Starr', 'George Harrison', 'Richard Starkey', 'George Harrison', 'Ringo Starr', 'George Harrison']",Ringo Starr and Mark Lennon.,True,False
natural_questions,who is playing the halftime show at super bowl 2016,"['Coldplay with special guest performers Beyoncé and Bruno Mars', 'Coldplay', 'Beyoncé', 'Bruno Mars', 'British rock group Coldplay with special guest performers Beyoncé and Bruno Mars', 'Coldplay', 'Beyoncé', 'Bruno Mars']",Coldplay.,True,False
natural_questions,star wars the clone wars anakin voice actor,"[""Matthew MacKendree `` Matt '' Lanter"", ""Matthew MacKendree `` Matt '' Lanter"", ""Matthew MacKendree `` Matt '' Lanter""]",Matt Lanter,True,False
natural_questions,to aru kagaku no railgun s episode 3,['Project Radio Noise'],I don't know.,False,False
natural_questions,who won the 2017 sports personality of the year,"['Mo Farah', 'Mo Farah', 'Mo Farah', 'Mo Farah', 'Mo Farah']",Michael Phelps,False,False
natural_questions,where was the world economic forum held this year,"['Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland', 'Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland', 'Davos', 'Davos', 'Davos , a mountain resort in Graubünden , in the eastern Alps region of Switzerland']","Davos, Switzerland.",True,False
natural_questions,where are the giant redwoods located in california,"['Humboldt County', 'Del Norte County', 'Humboldt County', 'Del Norte County', 'from the northern California coast north to the southern Oregon Coast', 'the coast of northern California']",Northern California.,True,False
natural_questions,who has made the most premier league appearances,"['Gareth Barry', 'Gareth Barry', 'Gareth Barry', 'Gareth Barry', 'Gareth Barry']",Gareth Barry.,True,False
natural_questions,who was the first chief minister of west bengal,"['Prafulla Chandra Ghosh of the Indian National Congress', 'Prafulla Chandra Ghosh', 'Prafulla Chandra Ghosh', 'Prafulla Chandra Ghosh', 'Prafulla Chandra Ghosh']",Bidhan Chandra Roy,False,False
natural_questions,who sings got my mind set on you,"['James Ray', 'George Harrison']",Chrissy Hynde and The Pretenders.,False,False
natural_questions,two main types of research methods used in psychology,"['Correlational research', 'Descriptive research', 'Experimental research', 'Qualitative psychological research', 'Quantitative psychological research', 'qualitative data', 'quantitative data', 'qualitative', 'quantitative']",Experimental and correlational.,False,False
natural_questions,who plays peter in what we do in the shadows,"['Ben Fransham', 'Ben Fransham', 'Ben Fransham', 'Ben Fransham', 'Ben Fransham']",Natasia Demetriou.,False,False
natural_questions,who was the chief guest of india on independence day 2017,['Crown Prince Mohammed bin Zayed Al Nahyan'],"Emmanuel Macron, President of France.",False,False
natural_questions,when does the 14th season of grey's anatomy come out,"['September 28 , 2017', 'September 28 , 2017', 'September 28 , 2017', 'September 28 , 2017', 'September 28 , 2017']","November 13, 2019.",False,False
natural_questions,when was the first hunger games book published,"['2008', 'September 14 , 2008', 'September 14 , 2008', '2008', 'September 14 , 2008']",2008,True,False
natural_questions,mandatory elements in the definition of an adverse event (ae),"['any unfavourable and unintended sign ( including an abnormal laboratory finding ) , symptom , or disease temporally associated with the use of a medicinal ( investigational ) product , whether or not related to the medicinal ( investigational ) product']","Unexpected, serious, and related to the investigational product.",True,False
natural_questions,how much is the united states in debt to china,"['1,200.5', '$1.06 trillion', '$1.06 trillion', '$1.06 trillion']",Approximately $800 billion.,False,False
natural_questions,where did the race in grease take place,"['Thunder Road', 'the Los Angeles River , between the First and Seventh Street Bridges', 'at the Los Angeles River , between the First and Seventh Street Bridges', 'Thunder Road', 'at the Los Angeles River , between the First and Seventh Street Bridges']","Monte Carlo, Monaco.",False,False
natural_questions,what is the maximum data rate for the 802.11a standard select one,"['54 Mbit / s', '54 Mbit / s', '54 Mbit / s', '54 Mbit / s']",54 Mbps,True,False
natural_questions,where are the summer olympics held this year,['Tokyo for the 2020 Summer Olympics'],"Paris, France.",False,False
natural_questions,a good that can be used in place of another good,"['substitute good', 'substitute good', 'substitute good', 'A substitute good']",Substitute good,True,False
natural_questions,where in the bible can i find the lord's prayer,"['Gospel of Matthew in the middle of the Sermon on the Mount', ""Gospel of Luke when `` one of his disciples said to him , ' Lord , teach us to pray , as John taught his disciples"", 'the Gospel of Matthew', 'the Gospel of Luke']",Matthew 6:9-13 and Luke 11:2-4.,False,False
natural_questions,when was the last time nebraska voted democrat,['1964'],1964,True,False
natural_questions,who become the ceo of it wipro company in 2016,"['Abid Ali Neemuchwala', 'Abid Ali Neemuchwala', 'Abid Ali Neemuchwala', 'Abid Ali Neemuchwala', 'Abid Ali Neemuchwala']",Abid Neemani became the CEO of Wipro Company in 2016.,False,False
natural_questions,who does eric end up with in gossip girl,['Jenny'],Eric ends up with Benjen.,False,False
