dataset,question,correct_answer,generated_answer,is_correct,context_used
ru_rag,Что может вызвать цунами?,Землетрясение,"Землетрясения, подводные оползни, извержения вулканов и метеоритные удары.",False,False
ru_rag,Кто написал роман «Хижина дяди Тома»?,Г. Бичер-Стоу,Гарриет Бичер-Стоу.,False,False
ru_rag,Кто создал Зимний дворец в Санкт-Петербурге?,Растрелли,Растрелли.,True,False
ru_rag,"Какое современное государство занимает территорию, на которой находился древний ассирийский город Ниневия?",Ирак,Ирак.,True,False
ru_rag,Как звали отца Северуса Снейпа?,Тоббиас Снегг (Снейп),Я не знаю.,False,False
ru_rag,На каком языке сочиняет стихи Расул Гамзатов?,На аварском,Дагестанский татарский и русский.,False,False
ru_rag,В какой стране живут кхмеры?,Камбоджа,Камбоджа.,True,False
ru_rag,В какой стране находится гора Эверест?,Непал,Непал и Тибет (Китай).,True,False
ru_rag,В какой стране обитает кенгуру?,Австралия,Австралия.,True,False
ru_rag,В каком американском штате находится Большой Каньон?,Аризона,Аризона.,True,False
ru_rag,В каком виде спорта прославился Е. Кафельников?,теннис,Теннис.,True,False
ru_rag,В каком государстве находится город Сент-Питерсберг?,США,Россия.,False,False
ru_rag,В каком романе Франсуа Рабле главного героя сопровождал персонаж по имени Панург?,Гаргантюа и Пантагрюэль,Gargantua and Pantagruel.,False,False
ru_rag,В каком штате США расположена самая длинная пещера в мире (530 км) с забавным названием Флинт-Мамонтова?,Кентукки,Kentucky.,False,False
ru_rag,"Где происходят действия романа ""Отверженные"" Виктора Гюго?",Париж,Франция.,False,False
ru_rag,К какой династии относился Ричард Львиное Сердце?,Плантагенет,Плантагенеты.,True,False
ru_rag,Как звали коня Александра Македонского?,Буцефал,Буцефал.,True,False
ru_rag,Как звали мать Александра Македонского?,Олимпиада,Мне не известно. (I don't know.),False,False
ru_rag,Как называется административный центр штата Аляска?,Джуно,Джуно (Juneau),True,False
ru_rag,Как называется столица Камбоджи?,Пномпень,Пномпень.,True,False
ru_rag,Как называются деньги в Гондурасе?,лемпира,лемпира (lempira),True,False
ru_rag,Какой город на черноморском побережье назывался Кафа?,Феодосия,Евпатория.,False,False
ru_rag,Какой город расположен на южном берегу пролива Золотые Ворота?,Сан-Франциско,Сан-Франциско.,True,False
ru_rag,Какой город является административным центром штата Нью-Йорк?,Олбани,Albany.,False,False
ru_rag,"Какой стране принадлежит авиакомпания ""KLM""?",Голландия,Нидерланды.,False,False
ru_rag,"Какому музею принадлежит ""Джоконда"" великого Леонардо?",Лувр,Лувру.,True,False
ru_rag,"Какую страну римляне называли ""Каледония""?",Шотландию,Шотландия.,False,False
ru_rag,"Кому принадлежат слова: ""Я мыслю, следовательно существую""?",Декарт,Рене Декарт (René Descartes).,True,False
ru_rag,"Кто автор произведения ""Ученые женщины""?",Мольер,Изабель Макаренкова.,False,False
ru_rag,"Кто автор романа ""Спартак""?",Джованьоли,Николай Островский.,False,False
ru_rag,Кто заложил основы кибернетики?,Винер,Норберт Винер.,True,False
ru_rag,"Кто написал сказку ""Карлик-Нос""?",Гауф,Леонид Андреев.,False,False
ru_rag,"Кто плавал на папирусной лодке ""Ра"" и на плоту ""Кон-Тики""?",Хейердал,Thor Heyerdahl and his crew.,False,False
ru_rag,Кто придумал Алису Селезневу?,Булычев,Ганс Христиан Андерсен.,False,False
ru_rag,"Кто сочинил ""Танец с саблями""?",Хачатурян,Аркадий Федоровский.,False,False
ru_rag,На какой планете родился Люк Скайвокер?,Татуин,Татуин.,True,False
ru_rag,Какой архитектор построил Исаакиевский собор в Санкт-Петербурге?,Монферран,Карл Росси.,False,False
ru_rag,Какой русский поэт был мужем знаменитой танцовщицы Айседоры Дункан?,Есенин,Сергей Есенин.,True,False
ru_rag,"Кто сказал ""И ты, Брут""?",Цезарь,Марк Антоний.,False,False
ru_rag,В какой стране находится город Брянск?,Россия,Россия (Russia),True,False
ru_rag,В каком театре выступал Владимир Высоцкий?,Таганка,Театр на Таганке.,False,False
