experiment_id,timestamp,chunk_size,chunk_overlap,dense_model,use_bge_small,use_bge_m3,use_splade,top_k,rrf_k,strategy,k_values,success,error_message,latency_ms,total_queries,metrics_recall_at_k,metrics_hit_at_k,metrics_mean_latency_ms,metrics_precision_at_k,metrics_total_queries,metrics_mrr_at_k,metrics_std_latency_ms,metrics_f1_at_k,metrics_ndcg_at_k
chunk_size_256_0,2026-05-13T04:05:04.955442,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,9212.049100002332,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",91.77877800022543,739.4477161932533,100
chunk_size_512_1,2026-05-13T04:05:04.955446,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,1806.6843999986304,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.723541999948793,8.30119728179827,100
chunk_size_768_2,2026-05-13T04:05:04.955449,768,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,1819.7571999990032,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.87502699997276,7.43953646522105,100
chunk_size_1024_3,2026-05-13T04:05:04.955452,1024,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,1661.0353000069153,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",16.26057599991327,5.283195471032075,100
chunk_size_256_0,2026-05-13T04:08:16.958457,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,8242.584999999963,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",82.06327399988368,644.3373669920868,100
chunk_size_512_1,2026-05-13T04:08:16.958462,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,1794.2516999974032,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.59426899967366,7.399046375985435,100
chunk_size_768_2,2026-05-13T04:08:16.958466,768,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,1831.2998000037624,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.951749000203563,7.464042394991388,100
chunk_size_1024_3,2026-05-13T04:08:16.958469,1024,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,1828.376900004514,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.946365000025253,7.786284553081676,100
chunk_size_256_0,2026-05-13T04:11:03.058140,256,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,10043.71149999497,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",99.75835600002029,701.6563435237564,100
chunk_size_512_1,2026-05-13T04:11:03.058148,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2751.1910000030184,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",26.833716000328423,6.131850922923841,100
