experiment_id,timestamp,chunk_size,chunk_overlap,dense_model,use_bge_small,use_bge_m3,use_splade,top_k,rrf_k,strategy,k_values,success,error_message,latency_ms,total_queries,metrics_ndcg_at_k,metrics_f1_at_k,metrics_precision_at_k,metrics_mean_latency_ms,metrics_std_latency_ms,metrics_mrr_at_k,metrics_total_queries,metrics_recall_at_k,metrics_hit_at_k
top_k_5_0,2026-05-13T05:24:53.234076,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,5,60,dense,"[1, 3, 5, 10]",True,,322615.91999999655,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.123678385679565,6.001402383067081,18460
top_k_10_1,2026-05-13T05:24:53.234081,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,325423.35230000026,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.273893797357108,5.818628642336056,18460
top_k_20_2,2026-05-13T05:24:53.234086,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,20,60,dense,"[1, 3, 5, 10]",True,,328442.5323000032,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.432894821208183,5.6916949947727575,18460
top_k_50_3,2026-05-13T05:24:53.234088,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,50,60,dense,"[1, 3, 5, 10]",True,,350487.6302999983,18460,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",18.600630157084566,6.061474580275552,18460
top_k_5_0,2026-05-13T07:22:34.369642,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,5,60,dense,"[1, 3, 5, 10]",True,,2145.821199999773,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",21.071776000171667,5.5459674763105244,100
top_k_10_1,2026-05-13T07:22:34.369646,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,2276.668599995901,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",22.3891050000384,16.366907469406218,100
top_k_20_2,2026-05-13T07:22:34.369649,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,20,60,dense,"[1, 3, 5, 10]",True,,3347.2675000084564,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",33.01330299960682,35.59828813466597,100
top_k_50_3,2026-05-13T07:22:34.369652,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,50,60,dense,"[1, 3, 5, 10]",True,,3717.3773999966215,100,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",36.723832999996375,34.395918628079585,100
top_k_5_0,2026-05-13T07:29:29.781268,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,5,60,dense,"[1, 3, 5, 10]",True,,18831.686899997294,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",18.120293700281763,10.804183065731623,1000
top_k_10_1,2026-05-13T07:29:29.781273,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,10,60,dense,"[1, 3, 5, 10]",True,,17554.14930000552,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.211120200212463,7.870937313258995,1000
top_k_20_2,2026-05-13T07:29:29.781276,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,20,60,dense,"[1, 3, 5, 10]",True,,16746.146100005717,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",16.42600499994296,6.415276878772878,1000
top_k_50_3,2026-05-13T07:29:29.781278,512,50,sentence-transformers/all-MiniLM-L6-v2,False,False,False,50,60,dense,"[1, 3, 5, 10]",True,,17445.578800005023,1000,"{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}","{1: 0.0, 3: 0.0, 5: 0.0, 10: 0.0}",17.126618899943423,6.4257080680456315,1000
